"Freq [GHz]","re(Z(2,2)) [] - moveDistance='5mm'","re(Z(2,2)) [] - moveDistance='10mm'","re(Z(2,2)) [] - moveDistance='15mm'","re(Z(2,2)) [] - moveDistance='20mm'","re(Z(2,2)) [] - moveDistance='25mm'","re(Z(2,2)) [] - moveDistance='30mm'","re(Z(2,2)) [] - moveDistance='35mm'","re(Z(2,2)) [] - moveDistance='40mm'","im(Z(2,2)) [] - moveDistance='5mm'","im(Z(2,2)) [] - moveDistance='10mm'","im(Z(2,2)) [] - moveDistance='15mm'","im(Z(2,2)) [] - moveDistance='20mm'","im(Z(2,2)) [] - moveDistance='25mm'","im(Z(2,2)) [] - moveDistance='30mm'","im(Z(2,2)) [] - moveDistance='35mm'","im(Z(2,2)) [] - moveDistance='40mm'"
0.969,1.04274409836115,4.97254318945901,4.5510787681748,5.27178798192618,5.69376710860188,6.57707285098096,7.41142773665107,8.23015868538345,57.5386615395924,74.9341700221928,79.1939806163957,84.6794156530779,88.945118327595,93.9948372472582,98.2141724245968,101.537439529989
0.97,1.08915484167452,5.0948362226474,4.6200114650038,5.34828722333208,5.7760378245045,6.67370929110654,7.52181363336223,8.35459164049108,57.8134932985998,75.1183709766769,79.3345927519774,84.8306993006237,89.1080000808303,94.1748765283282,98.4111006002615,101.74633629228
0.971,1.13696652126822,5.22309552241814,4.69019243938045,5.42602394101628,5.85963038052202,6.77191478547967,7.63401198588913,8.48109296296453,58.0741985473289,75.3059800214082,79.4755052141028,84.9821626249396,89.2710912860987,94.3551455180238,98.6082968300429,101.955474854906
0.972,1.18586906089683,5.35784460336973,4.76164820043442,5.50501800147677,5.94456571299036,6.87171432403632,7.74805195932182,8.60969590697141,58.3223557811862,75.4972159594969,79.6167123847521,85.1337944198128,89.4343801409116,94.5356295062603,98.8057439188807,102.164833724921
0.973,1.23562870921514,5.49967381330057,4.83440594689492,5.58528949922867,6.03086498958702,6.97313316415943,7.86396303285925,8.74043405554321,58.5593209911886,75.6923162059748,79.758208288341,85.2855829691818,89.5978543069031,94.7163131166426,99.0034238841506,102.374390443877
0.974,1.28606980608773,5.64925131271501,4.90849359176342,5.66685875309925,6.11854960499446,7.07619682459443,7.98177499245373,8.87334130953197,58.7862646811939,75.8915382914309,79.8999865763506,85.437516030441,89.7615008925064,94.8971802849968,99.2013179300472,102.584121556742
0.975,1.33706115773589,5.80733625110401,4.98393978830443,5.74974630204188,6.20764117604373,7.18093107869013,8.1015179226377,9.00845187547329,59.004201857723,76.0951613518885,80.0420405112634,85.5895808173335,89.9253064352227,95.0782142374066,99.3994064213729,102.794002580143
0.976,1.38850577732306,5.9747946590203,5.06077395745171,5.83397290044225,6.29816153631065,7.28736194692897,8.22322219748867,9.14580025229826,59.2140164704073,76.3034875243699,80.1843629497651,85.7417639824321,90.08925688348,95.2593974677577,99.5976688567354,103.004007969938
0.977,1.44033310495291,6.1526187165492,5.13902631673446,5.9195595128879,6.39013273013417,7.39551568870782,8.34691847068511,9.28542121683299,59.4164814439506,76.5168431227133,80.3269463251657,85.8940515992059,90.2533375780864,95.4407117147891,99.7960838411555,103.214111088127
0.978,1.492493069491,6.34195024410964,5.21872791083841,6.00652730837158,6.48357700602643,7.50541879333023,8.47263766460547,9.42734980802371,59.6122751872501,76.7355794013488,80.4697826289957,86.0464291436745,90.4175332332762,95.6221379386587,99.9946290580928,103.424284169113
