0.077463	0.378947	
0.077529	0.379298	
0.077619	0.379649	
0.077631	0.380000	
0.077640	0.380351	
0.077821	0.380702	
0.078130	0.381053	
0.078196	0.381404	
0.078205	0.381754	
0.078299	0.382105	
0.078334	0.382456	
0.078482	0.382807	
0.078577	0.383158	
0.078712	0.383509	
0.078839	0.383860	
0.078982	0.384211	
0.078982	0.384561	
0.079201	0.384912	
0.079212	0.385263	
0.079263	0.385614	
0.079296	0.385965	
0.079310	0.386316	
0.079500	0.386667	
0.079668	0.387018	
0.079807	0.387368	
0.079851	0.387719	
0.079917	0.388070	
0.080037	0.388421	
0.080048	0.388772	
0.080120	0.389123	
0.080232	0.389474	
0.080293	0.389825	
0.080404	0.390175	
0.080495	0.390526	
0.080669	0.390877	
0.080701	0.391228	
0.080900	0.391579	
0.080940	0.391930	
0.081010	0.392281	
0.081023	0.392632	
0.081122	0.392982	
0.081266	0.393333	
0.081284	0.393684	
0.081310	0.394035	
0.081386	0.394386	
0.081404	0.394737	
0.081451	0.395088	
0.081501	0.395439	
0.081505	0.395789	
0.081514	0.396140	
0.081607	0.396491	
0.081611	0.396842	
0.081636	0.397193	
0.081817	0.397544	
0.081854	0.397895	
0.081919	0.398246	
0.081934	0.398596	
0.081968	0.398947	
0.082000	0.399298	
0.082360	0.399649	
0.082363	0.400000	
0.082814	0.400351	
0.082891	0.400702	
0.082978	0.401053	
0.083503	0.401404	
0.083514	0.401754	
0.083544	0.402105	
0.084120	0.402456	
0.084201	0.402807	
0.084204	0.403158	
0.084267	0.403509	
0.084394	0.403860	
0.084412	0.404211	
0.084560	0.404561	
0.084749	0.404912	
0.084777	0.405263	
0.084782	0.405614	
0.084879	0.405965	
0.084879	0.406316	
0.085007	0.406667	
0.085103	0.407018	
0.085104	0.407368	
0.085171	0.407719	
0.085360	0.408070	
0.085629	0.408421	
0.085766	0.408772	
0.085955	0.409123	
0.085978	0.409474	
0.086076	0.409825	
0.086128	0.410175	
0.086133	0.410526	
0.086269	0.410877	
0.086465	0.411228	
0.086487	0.411579	
0.086559	0.411930	
0.086586	0.412281	
0.086634	0.412632	
0.087231	0.412982	
0.087676	0.413333	
0.087747	0.413684	
0.087959	0.414035	
0.088244	0.414386	
0.088282	0.414737	
0.088392	0.415088	
0.088466	0.415439	
0.088509	0.415789	
0.088674	0.416140	
0.088738	0.416491	
0.088755	0.416842	
0.088783	0.417193	
0.088818	0.417544	
0.088970	0.417895	
0.089011	0.418246	
0.089021	0.418596	
0.089141	0.418947	
0.089349	0.419298	
0.089369	0.419649	
0.089540	0.420000	
0.089778	0.420351	
0.089919	0.420702	
0.090402	0.421053	
0.090464	0.421404	
0.090607	0.421754	
0.090632	0.422105	
0.090732	0.422456	
0.090797	0.422807	
0.090819	0.423158	
0.090894	0.423509	
0.091010	0.423860	
0.091161	0.424211	
0.091251	0.424561	
0.091736	0.424912	
0.091871	0.425263	
0.091929	0.425614	
0.092166	0.425965	
0.092180	0.426316	
0.092432	0.426667	
0.092568	0.427018	
0.092631	0.427368	
0.092757	0.427719	
0.093022	0.428070	
0.093152	0.428421	
0.093341	0.428772	
0.093363	0.429123	
0.093370	0.429474	
0.093696	0.429825	
0.093722	0.430175	
0.093779	0.430526	
0.093787	0.430877	
0.094041	0.431228	
0.094267	0.431579	
0.094279	0.431930	
0.094648	0.432281	
0.094959	0.432632	
0.095092	0.432982	
0.095194	0.433333	
0.095206	0.433684	
0.095214	0.434035	
0.095285	0.434386	
0.095371	0.434737	
0.095730	0.435088	
0.096053	0.435439	
0.096207	0.435789	
0.096278	0.436140	
0.096386	0.436491	
0.096699	0.436842	
0.096938	0.437193	
0.097346	0.437544	
0.097602	0.437895	
0.097829	0.438246	
0.097843	0.438596	
0.098099	0.438947	
0.098104	0.439298	
0.098120	0.439649	
0.098183	0.440000	
0.098311	0.440351	
0.098375	0.440702	
0.098668	0.441053	
0.098688	0.441404	
0.098805	0.441754	
0.098830	0.442105	
0.098913	0.442456	
0.098952	0.442807	
0.098956	0.443158	
0.098963	0.443509	
0.099050	0.443860	
0.099088	0.444211	
0.099280	0.444561	
0.099519	0.444912	
0.099886	0.445263	
0.099908	0.445614	
0.100138	0.445965	
