id,time(s),value
0,11.946,1.95
0,11.988,1.95
0,11.989,1.95
0,12.017,1.95
0,12.018,1.95
0,12.019,1.95
0,12.034,1.95
0,12.034,1.95
0,12.035,1.95
0,12.035,1.95
0,12.046,1.95
0,12.047,1.95
0,12.057,1.95
0,12.057,1.95
0,12.057,1.95
0,12.067,1.95
0,12.067,1.95
0,12.067,1.95
0,12.068,1.95
0,12.077,1.95
0,12.078,1.95
0,12.087,1.95
0,12.087,1.95
0,12.088,1.95
0,12.097,1.95
0,12.098,1.95
0,12.098,1.95
0,12.099,1.95
0,12.121,1.96
0,12.121,1.96
0,12.122,1.96
0,12.131,1.96
0,12.162,1.96
0,12.162,1.96
0,12.162,1.96
0,12.163,1.96
0,12.203,1.96
0,12.204,1.96
0,12.204,1.96
0,12.205,1.96
0,12.245,1.96
0,12.245,1.96
0,12.255,1.96
0,12.255,1.96
0,12.286,1.96
0,12.287,1.96
0,12.287,1.96
0,12.287,1.96
0,12.328,1.97
0,12.328,1.97
0,12.329,1.97
0,12.330,1.97
0,12.369,1.97
0,12.370,1.97
0,12.404,1.97
0,12.405,1.97
0,12.411,1.97
0,12.444,1.97
0,12.445,1.97
0,12.446,1.97
0,12.480,1.97
0,12.481,1.97
0,12.482,1.97
0,12.516,1.97
0,12.516,1.97
0,12.517,1.97
0,12.552,1.97
0,12.552,1.97
0,12.554,1.97
0,12.556,1.97
0,12.590,1.99
0,12.592,1.99
0,12.594,1.99
0,12.629,1.99
0,12.630,1.99
0,12.632,1.99
0,12.667,1.99
0,12.669,1.99
0,12.671,1.99
0,12.706,1.99
0,12.708,1.99
0,12.742,1.99
0,12.743,1.99
0,12.744,1.99
0,12.779,1.99
0,12.779,1.99
0,12.781,1.99
0,12.783,1.99
0,12.818,1.99
0,12.819,1.99
0,12.854,1.99
0,12.855,1.99
0,12.856,1.99
0,12.891,1.99
0,12.891,1.99
0,12.892,2.00
0,12.927,2.00
0,12.928,2.00
0,12.930,2.00
0,12.932,2.00
0,12.934,2.00
0,12.969,2.00
0,13.005,2.00
0,13.006,2.00
0,13.009,2.00
0,13.044,2.00
0,13.044,2.00
0,13.046,2.00
0,13.049,2.00
0,13.083,2.00
0,13.084,2.00
0,13.123,2.00
0,13.124,2.00
0,13.125,2.00
0,13.160,2.00
0,13.160,2.00
0,13.162,2.00
0,13.164,2.00
0,13.199,2.00
0,13.200,2.00
0,13.240,2.00
0,13.243,2.00
0,13.244,2.01
0,13.278,2.01
0,13.280,2.01
0,13.283,2.01
0,13.285,2.01
0,13.320,2.01
0,13.322,2.01
0,13.323,2.01
0,13.345,2.01
0,13.346,2.01
0,13.359,2.01
0,13.360,2.01
0,13.360,2.01
0,13.380,2.01
0,13.381,2.01
0,13.382,2.01
0,13.383,2.01
0,13.404,2.01
0,13.405,2.01
0,13.425,2.01
0,13.426,2.01
0,13.426,2.01
0,13.447,2.01
0,13.448,2.01
0,13.449,2.01
0,13.450,2.01
0,13.471,2.01
0,13.472,2.01
0,13.498,2.01
0,13.498,2.02
0,13.500,2.02
0,13.501,2.02
0,13.527,2.02
0,13.528,2.02
0,13.555,2.02
0,13.555,2.02
0,13.556,2.02
0,13.558,2.02
0,13.585,2.02
0,13.586,2.02
0,13.617,2.02
0,13.618,2.02
0,13.621,2.02
0,13.648,2.02
0,13.648,2.02
0,13.650,2.02
0,13.652,2.02
0,13.678,2.02
0,13.679,2.02
0,13.702,2.02
0,13.702,2.02
0,13.703,2.02
0,13.724,2.02
0,13.724,2.02
0,13.725,2.02
0,13.726,2.02
0,13.747,2.02
0,13.748,2.02
0,13.769,2.02
0,13.769,2.02
0,13.770,2.02
0,13.791,2.03
0,13.792,2.03
0,13.793,2.03
0,13.794,2.03
0,13.814,2.03
0,13.816,2.03
0,13.817,2.03
0,13.818,2.03
0,13.839,2.03
0,13.860,2.03
0,13.861,2.03
0,13.861,2.03
0,13.882,2.03
0,13.883,2.03
0,13.884,2.03
0,13.885,2.03
0,13.912,2.03
0,13.913,2.03
0,13.948,2.03
0,13.948,2.03
0,13.949,2.03
0,13.985,2.03
0,13.985,2.03
0,13.987,2.03
0,13.989,2.03
0,14.023,2.03
0,14.024,2.03
0,14.049,2.03
0,14.049,2.03
0,14.050,2.03
0,14.074,2.03
0,14.074,2.03
0,14.075,2.04
0,14.100,2.04
0,14.100,2.04
0,14.102,2.04
0,14.103,2.04
0,14.106,2.04
0,14.129,2.04
0,14.154,2.04
0,14.154,2.04
0,14.157,2.04
0,14.181,2.04
0,14.181,2.04
0,14.182,2.04
0,14.189,2.04
0,14.208,2.04
0,14.210,2.04
0,14.211,2.04
0,14.236,2.04
0,14.236,2.04
0,14.261,2.04
0,14.261,2.04
0,14.296,2.04
0,14.298,2.04
0,14.299,2.04
0,14.300,2.04
0,14.336,2.04
0,14.336,2.04
0,14.337,2.04
0,14.373,2.04
0,14.374,2.04
0,14.375,2.04
0,14.411,2.05
0,14.412,2.05
0,14.414,2.05
0,14.416,2.05
0,14.418,2.05
0,14.454,2.05
0,14.482,2.05
0,14.482,2.05
0,14.483,2.05
